brand,brand_short,product,product_short,R,G,B,shade_name,URL,hex_values
Maybelline,mb,Fitme Foundation,fmf,243,185,137,"




230 Natural Buff",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Natural-Buff,#f3b989
Maybelline,mb,Fitme Foundation,fmf,247,209,188,115 Ivory,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Ivory,#f7d1bc
Maybelline,mb,Fitme Foundation,fmf,240,186,129,"




310 Sun Beige",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Sun-Beige,#f0ba81
Maybelline,mb,Fitme Foundation,fmf,214,156,116,330 Toffee,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Toffee,#d69c74
Maybelline,mb,Fitme Foundation,fmf,251,213,189,120 Classic Ivory,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Classic-Ivory,#fbd5bd
Maybelline,mb,Fitme Foundation,fmf,235,191,147,"




228 Soft Tan",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Soft-Tan,#ebbf93
Maybelline,mb,Fitme Foundation,fmf,210,169,141,"




118 Light Beige",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Light-Beige,#d2a98d
Maybelline,mb,Fitme Foundation,fmf,220,144,82,"




340 Cappuccino",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Cappuccino,#dc9052
Maybelline,mb,Fitme Foundation,fmf,249,208,176,128 Warm Nude,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Warm-Nude,#f9d0b0
Maybelline,mb,Fitme Foundation,fmf,231,185,162,125 Nude Beige,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Nude-Beige,#e7b9a2
Maybelline,mb,Fitme Foundation,fmf,230,184,152,"220 Natural Beige
",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Natural-Beige,#e6b898
Maybelline,mb,Fitme Foundation,fmf,243,178,125,332 Golden Caramel,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Golden-Caramel,#f3b27d
Maybelline,mb,Fitme Foundation,fmf,248,192,146,123 Soft Nude,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Soft-Nude,#f8c092
Maybelline,mb,Fitme Foundation,fmf,225,171,117,"




126 Light pecan",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Light-pecan,#e1ab75
Maybelline,mb,Fitme Foundation,fmf,196,134,92,137 Golden tan,https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Golden-tan,#c4865c
Maybelline,mb,Fitme Foundation,fmf,210,152,111,"




312 Golden
",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Golden,#d2986f
Maybelline,mb,Fitme Foundation,fmf,222,159,116,"




326 Warm tan",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Warm-tan,#de9f74
Maybelline,mb,Fitme Foundation,fmf,223,159,112,"




127 Golden Honey",https://www.maybelline.co.in/all-products/face/foundation/fit-me-foundation?variant=Golden-Honey,#df9f70
Maybelline,mb,Lumi Matte Foundation,lmf,253,212,181,115,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=115,#fdd4b5
Maybelline,mb,Lumi Matte Foundation,lmf,253,199,155,120,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=120,#fdc79b
Maybelline,mb,Lumi Matte Foundation,lmf,254,196,138,123,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=123,#fec48a
Maybelline,mb,Lumi Matte Foundation,lmf,241,186,144,125,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=125,#f1ba90
Maybelline,mb,Lumi Matte Foundation,lmf,238,183,128,128,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=128,#eeb780
Maybelline,mb,Lumi Matte Foundation,lmf,240,185,135,220,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=220,#f0b987
Maybelline,mb,Lumi Matte Foundation,lmf,237,180,130,228,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=228,#edb482
Maybelline,mb,Lumi Matte Foundation,lmf,246,180,127,230,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=230,#f6b47f
Maybelline,mb,Lumi Matte Foundation,lmf,240,172,122,310,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=310,#f0ac7a
Maybelline,mb,Lumi Matte Foundation,lmf,221,149,95,330,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=330,#dd955f
Maybelline,mb,Lumi Matte Foundation,lmf,215,161,115,140,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=140,#d7a173
Maybelline,mb,Lumi Matte Foundation,lmf,230,179,132,250,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=250,#e6b384
Maybelline,mb,Lumi Matte Foundation,lmf,234,173,117,311,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=311,#eaad75
Maybelline,mb,Lumi Matte Foundation,lmf,240,159,101,326,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=326,#f09f65
Maybelline,mb,Lumi Matte Foundation,lmf,198,120,66,340,https://www.maybelline.co.in/all-products/face/foundation/lumi-matte-foundation?variant=340,#c67842
Maybelline,mb,Fitme Tube Foundation,fmtf,242,184,137,"230 Natural Buff
",https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Natural-Buff,#f2b889
Maybelline,mb,Fitme Tube Foundation,fmtf,250,208,176,128 Warm Nude,https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Warm-Nude,#fad0b0
Maybelline,mb,Fitme Tube Foundation,fmtf,231,185,152,"220 Natural Beige
",https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Natural-Beige,#e7b998
Maybelline,mb,Fitme Tube Foundation,fmtf,241,185,135,310 Sun Beige,https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Sun-Beige,#f1b987
Maybelline,mb,Fitme Tube Foundation,fmtf,210,140,98,330 Toffee,https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Toffee,#d28c62
Maybelline,mb,Fitme Tube Foundation,fmtf,255,193,148,Ivory 115,https://www.maybelline.co.in/all-products/face/foundation/fit-me-tube-foundation?variant=Ivory,#ffc194
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,237,190,159,Classic Ivory,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Classic-Ivory,#edbe9f
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,214,156,118,Golden,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Golden,#d69c76
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,214,163,129,Natural Beige,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Natural-Beige,#d6a381
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,230,191,165,Natural Ivory,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Natural-Ivory,#e6bfa5
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,214,164,129,Sun Beige,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Sun-Beige,#d6a481
Maybelline,mb,Superstay Full Coverage Foundation,ssfcf,230,189,158,Warm Nude,https://www.maybelline.co.in/all-products/face/foundation/superstay-foundation?variant=Warm-Nude,#e6bd9e
Maybelline,mb,Fitme Fresh Tint,fmft,242,196,157,Shade 1,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-01,#f2c49d
Maybelline,mb,Fitme Fresh Tint,fmft,232,192,167,Shade 3,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-03,#e8c0a7
Maybelline,mb,Fitme Fresh Tint,fmft,222,171,140,Shade 5,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-05,#deb18c
Maybelline,mb,Fitme Fresh Tint,fmft,209,161,121,Shade 6,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-06,#d1a179
Maybelline,mb,Fitme Fresh Tint,fmft,214,154,114,Shade 8,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-08,#d69a72
Maybelline,mb,Fitme Fresh Tint,fmft,199,151,117,Shade 9,https://www.maybelline.co.in/all-products/face/foundation/fit-me-fresh-tint-with-vitamin-c?variant=Shade-09,#c79775
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,255,182,133,03 Warm Cashew,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-warm-cashew-03-30-ml-82-46-19-91,#feb583
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,252,156,111,07 Warm Mocha,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-warm-mocha-07-30-ml-12,#ff9f75
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,255,207,194,04 Cool Cashew,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-cool-cashew-04-30-ml-27,#fac8b9
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,247,213,158,01 Warm Vanilla,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-warm-vanilla-01-30-ml-15,#f7d59e
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,232,186,162,09 Warm Milk,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-warm-milk-09,#e8baa2
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,184,120,64,14 Warm Honey,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-warm-honey-14,#b87840
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,250,211,180,11 Cool Toffee,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-cool-toffee-11-78,#fad5b4
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,255,209,173,02 Cool Vanilla,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-cool-vanilla-02-30-ml-20-97,#ffd1ad
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,245,188,142,12 Warm Pearl,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-warm-pearl-12,#f5bc8e
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,219,119,94,06 Cool Sand,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-cool-sand-06-30-ml-11,#db775e
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,235,167,99,05 Warm Sand,https://www.purplle.com/product/ny-bae-3-in-1-primer-foundation-serum-warm-sand-05-30-ml-16,#eba763
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,214,161,118,10 Cool Pearl,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-cool-pearl-10,#d6a176
NY Bae,nyb, 3 IN 1 Serum Foundation,sf,194,135,87,13 Warm Toffee,https://www.purplle.com/product/ny-bae-3-in-1-serum-foundation-with-primer-warm-toffee-13,#c28757
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,232,197,162,Absolute Ivory 012,https://www.purplle.com/product/faces-canada-all-day-hydra-matte-foundation-3-in-1-foundation-moisturizer-spf-30-24-hr-aloe-hydration-and-vitamin-c-10hr-long-wear-medium-to-high-buildable-coverage-absolute-ivory-18ml,#e8c8a5
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,219,162,134,Caramel Natural 023,https://www.purplle.com/product/faces-canada-all-day-hydra-matte-foundation-3-in-1-foundation-moisturizer-spf-30-24-hr-aloe-hydration-and-vitamin-c-10hr-long-wear-medium-to-high-buildable-coverage-caramel-natural-18ml,#dba286
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,194,134,95,Warm Sand 042,https://www.purplle.com/product/faces-canada-all-day-hydra-matte-foundation-3-in-1-foundation-moisturizer-spf-30-24-hr-aloe-hydration-and-vitamin-c-10hr-long-wear-medium-to-high-buildable-coverage-warm-sand-18ml,#c2865f
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,250,202,180,Rose Ivory 011,https://www.purplle.com/product/faces-canada-all-day-hydra-matte-foundation-3-in-1-foundation-moisturizer-spf-30-24-hr-aloe-hydration-and-vitamin-c-10hr-long-wear-medium-to-high-buildable-coverage-rose-ivory-18ml,#facab4
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,214,169,146,Warm Natural 021,https://www.purplle.com/product/faces-canada-all-day-hydra-matte-foundation-3-in-1-foundation-moisturizer-spf-30-24-hr-aloe-hydration-and-vitamin-c-10hr-long-wear-medium-to-high-buildable-coverage-warm-natural-18ml,#d6a992
FACES CANADA,fc, 3-in-1 Foundation + Moisturizer + SPF 30,fms,219,165,123,Soft Sand 041,https://www.flipkart.com/faces-canada-all-day-hydra-matte-3-1-moisturizer-spf-30-foundation/p/itm64810559924ff?pid=FNDGEUANAFAKMGZR&lid=LSTFNDGEUANAFAKMGZRMNV2KE&marketplace=FLIPKART&sattr[]=shade&sattr[]=quantity&st=shade,#c9a07b
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,97,49,27,498,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-498-32-ml-8576391,#442520
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,79,52,43,490,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-490-32-ml-8576352,#612a16
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,82,56,44,495,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-495-32-ml-8576463,#5a2f1e
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,112,66,33,485,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-485-32-ml-8576385,#6d4325
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,140,76,41,470,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-470-32-ml-8576399,#8b4c2a
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,107,53,26,480,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-480-32-ml-8576518,#8b4c2a
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,107,66,22,445,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-445-32-ml-8576459,#6c361a
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,135,93,66,450,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-450-32-ml-8576508,#885d42
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,150,114,84,430,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-430-32-ml-8576388,#977254
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,148,84,35,440,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-440-32-ml-8576392,#945424
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,158,107,71,425,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-425-32-ml-8576373,#9f6b47
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,166,117,76,420,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-420-32-ml-8576356,#a6754c
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,166,125,85,410,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-410-32-ml-8576467,#a67d55
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,173,112,68,385,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-385-32-ml-8576394,#ad7044
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,168,124,86,400,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-400-32-ml-8576448,#a87c56
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,166,109,66,370,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-370-32-ml-8576305,#a66d42
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,173,121,68,345,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-345-32-ml-8576309,#ad7844
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,191,139,84,310,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-310-32-ml-8576519,#be8b53
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,184,141,99,390,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-390-32-ml-8576335,#b88d63
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,194,134,78,330,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-330-32-ml-8576585,#c2854d
Fenty Beauty,fb,Soft'Lit Naturally Luminous Foundation,nlf,181,130,85,335,https://www.tirabeauty.com/product/fenty-beauty-soft-lit-naturally-luminous-foundation-335-32-ml-8576304,#b38053
